Country Code,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,Inflation_2010,Inflation_2011,Inflation_2012,Inflation_2013,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,TravelExp_2010,TravelExp_2011,TravelExp_2012,TravelExp_2013,TravelExp_2014,TravelExp_2015,TravelExp_2016,TravelExp_2017,TravelExp_2018,TravelExp_2019,TravelExp_2020,TravelExp_2021
ABW,-2.73345570739019,3.36923812209224,-1.04080013542467,6.43148182354385,-1.58657464362111,-0.623625632862655,1.7196241156332,7.04853325902029,2.38173012558298,-2.30283684401374,-23.982580345495,27.6393569688502,2.07814071860787,4.31629742195203,0.627471992893373,-2.37206524252261,0.421440918881214,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,7.32110643415521,6.82472709282067,1251000000.0,1351000000.0,1402000000.0,1495000000.0,1605000000.0,1650000000.0,1757000000.0,1855000000.0,2033000000.0,2104000000.0,1076000000.0,
AFE,5.15723664348518,3.70185291381635,0.881674422102805,4.21660749893142,4.00757694853084,2.96506232728126,2.21901460787033,2.57194147972019,2.49135469614066,2.04061696561413,-2.79903807509672,4.3004408275946,5.53753791645677,8.97120640995787,9.15870715471663,5.75098133352471,5.37028961008587,5.24587835022461,6.57139642173964,6.39934341569383,4.72081138877301,4.65366473106483,7.32110643415521,6.82472709282067,17775261534.8253,19441646456.7321,21369379889.9585,20888412929.6177,22067679662.639,20375126010.4213,19872248426.7053,21570036020.6881,23088813542.4015,22349177802.4615,1076000000.0,
AFG,14.3624414692682,0.426354784529352,12.7522870887165,5.60074465808174,2.72454336394887,1.45131466009762,2.26031420130457,2.6470032019574,1.18922812838036,3.91160341942292,-2.3511006734461,-20.7388393676343,2.17853752389414,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536305,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,7.32110643415521,6.82472709282067,75000000.0,85000000.0,102000000.0,138000000.0,109000000.0,79000000.0,49000000.0,2000000.0,28000000.0,72000000.0,65000000.0,
AFW,6.96928259860816,4.84881383868137,5.13646859504537,6.10701277286437,5.92626557116256,2.81354341178157,0.142091829327867,2.28626953562923,2.83882880242301,3.20091866684984,-0.938161714877765,3.97631746525985,1.78484420477113,4.01869907534494,4.57837463515948,2.43920076104131,1.76843582146209,2.13081738058791,1.48741550755532,1.76463495159583,1.78404994832039,1.76011151192938,2.43760882182235,3.65353287214209,3478709744.60205,3978698222.87554,4024254216.59417,4443474915.57987,4484257977.63972,3809858157.72782,4935641697.11488,6779779251.80916,6596820216.92588,72000000.0,65000000.0,
AGO,4.39837593810763,3.47205314798103,8.54210707584141,4.95461303112738,4.82255926962156,0.943571561325001,-2.5801112218828,-0.147149825449205,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,14.4696564932576,13.4824679218514,10.2779049218837,8.77781429332616,7.28038730361129,9.35383972513749,30.6989578589226,29.8425777887099,19.6305943641961,17.0797044074953,22.2715643068878,25.7542656453085,719000000.0,646000000.0,706000000.0,1234000000.0,1589000000.0,1163000000.0,623000000.0,880000000.0,544000000.0,384000000.0,16000000.0,
ALB,3.70693815255319,2.54540614450104,1.4172427999078,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,3.62604695579816,3.42912324722163,2.03159268395301,1.93762080205229,1.6258650440261,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,1611000000.0,1632000000.0,1463000000.0,1473000000.0,1700000000.0,1499000000.0,1693000000.0,1943000000.0,2186000000.0,2329000000.0,1134000000.0,
AND,-1.97495799965345,-0.0080697534113909,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28719978108489,3.62604695579816,3.42912324722163,2.03159268395301,1.93762080205229,1.6258650440261,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,1611000000.0,1632000000.0,1463000000.0,1473000000.0,1700000000.0,1499000000.0,1693000000.0,1943000000.0,2186000000.0,1897000000.0,1134000000.0,
ARB,4.7137327108492,3.43211541254449,4.72994497808052,2.61880954642706,2.4332444228332,3.44381323488167,3.68609102826996,1.23944744810933,2.43822540850971,1.35977646282264,-5.04828507942399,3.73264556612307,3.91106195534028,4.7531638888566,4.6118443220664,3.2381083391407,2.64755321246189,1.83135233156368,2.37271603075831,2.06932928164433,2.76275077032944,1.04883403678997,1.61222220402452,2.96581008346283,1611000000.0,1632000000.0,1463000000.0,1473000000.0,1700000000.0,1499000000.0,1693000000.0,1943000000.0,2186000000.0,1897000000.0,1134000000.0,
ARE,1.60285004831225,6.21612181337187,1.82448078870188,5.05555965425988,4.16569184256178,6.78677287945216,5.56149075496799,0.735068713165646,1.31391388141118,1.10834813893099,-4.95705243652739,4.35475529921305,0.877983288286,0.87734659568502,0.662268900269108,1.1011183637571,2.34626865671633,4.06996608361603,1.61748808904189,1.9668255781886,3.06863379252005,-1.93108114782155,-2.07940317940978,-0.0138599444012243,1611000000.0,1632000000.0,1463000000.0,1473000000.0,1700000000.0,1499000000.0,1693000000.0,1943000000.0,2186000000.0,1897000000.0,1134000000.0,
ARG,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.7180099337095,0.877983288286,0.87734659568502,0.662268900269108,1.1011183637571,2.34626865671633,4.06996608361603,1.61748808904189,1.9668255781886,3.06863379252005,-1.93108114782155,-2.07940317940978,-0.0138599444012243,4989000000.0,5431000000.0,5014000000.0,4525000000.0,4960000000.0,4927000000.0,4967000000.0,5370000000.0,5563000000.0,5241000000.0,1616000000.0,
